ID,Position,Name,Score,Category,Price Symbol,Address,Zip,lat,lng,SubCategory,Name of the Dish,Description,Actual Price,Safety Rating
8319,5,Aladdin Falafel Corner,5.7,"Greek, Mediterranean, Vegetarian Friendly",$$,"4542 University Way NE, Seattle, WA, 98105",98105,47.6625,-122.31339,Picked for you,Aladdins Gyro,"Extra meat with grilled onions, tomatoes, feta cheese, and garlic sauce. ",11.99,Satisfactory
8319,5,Aladdin Falafel Corner,6.7,"Greek, Mediterranean, Vegetarian Friendly",$$,"4543 University Way NE, Seattle, WA, 98105",98105,47.6625,-122.31339,Picked for you,Lamb and Beef Gyro,"Sliced meat cut off the cone, lettuce, tomatoes, onions, and home made Tzatziki in a pita. ",10.99,Satisfactory
8319,5,Aladdin Falafel Corner,7.7,"Greek, Mediterranean, Vegetarian Friendly",$$,"4544 University Way NE, Seattle, WA, 98105",98105,47.6625,-122.31339,Picked for you,Aladdin Fries,"Fries topped with lamb and beef or chicken, feta cheese, and garlic sauce or Tzatziki. ",12.99,Satisfactory
8319,5,Aladdin Falafel Corner,8.7,"Greek, Mediterranean, Vegetarian Friendly",$$,"4545 University Way NE, Seattle, WA, 98105",98105,47.6625,-122.31339,Picked for you,Falafel,"Ground garbanzo beans mixed with parsley, onions, garlic, and spices. Deep-fried and served on a hot toasted pita. Comes with lettuce, cucumbers, and topped with tahini (sesame sauce).",9.99,Satisfactory
8319,5,Aladdin Falafel Corner,9.7,"Greek, Mediterranean, Vegetarian Friendly",$$,"4546 University Way NE, Seattle, WA, 98105",98105,47.6625,-122.31339,Picked for you,Chicken Shawarma,"Marinated strips of chicken breast in vinegar, spices, and homemade garlic sauce. Grilled with onions, green pepper, and tomatoes. ",10.99,Satisfactory
8319,5,Aladdin Falafel Corner,10.7,"Greek, Mediterranean, Vegetarian Friendly",$$,"4547 University Way NE, Seattle, WA, 98105",98105,47.6625,-122.31339,Bundles,Aladdin Fries Bundle,"Fries topped with lamb and beef or chicken, feta cheese, and garlic sauce or Tzatziki- Served with your choice of Coca-Cola product.",11.99,Satisfactory
8319,5,Aladdin Falafel Corner,11.7,"Greek, Mediterranean, Vegetarian Friendly",$$,"4548 University Way NE, Seattle, WA, 98105",98105,47.6625,-122.31339,Bundles,Dinner Special Bundle,"Lamb and beef, chicken, or vegetables with onion and tomatoes on top of basmati rice, feta cheese salad, hummus or baba ganoug, 1 pita, homemade sauce, and soda-Served with your choice of Coca-Cola product.",14.99,Satisfactory
8319,5,Aladdin Falafel Corner,12.7,"Greek, Mediterranean, Vegetarian Friendly",$$,"4549 University Way NE, Seattle, WA, 98105",98105,47.6625,-122.31339,Bundles,Gyro Dish Bundle,"Your choice of meat or vegetables on top of basmati rice, salad and homemade sauce- Served with your choice of Coca-Cola product.",12.99,Satisfactory
8440,7,A Pizza Mart (U-District),4.8,"American, Italian, Gluten Free Friendly, Pizza, Family Meals",$,"5240 University Way NE, Seattle, WA, 98105",98105,47.6679014,-122.3127436,Picked for you,Chicken Wings,Ten pieces.,14.99,Satisfactory
8440,7,A Pizza Mart (U-District),5.8,"American, Italian, Gluten Free Friendly, Pizza, Family Meals",$,"5241 University Way NE, Seattle, WA, 98105",98105,47.6679014,-122.3127436,Picked for you,Meat Lovers Pizza,"Pepperoni, salami, ham, Italian sausage, hamburger, cheese, and tomato sauce.",15.99,Satisfactory
8440,7,A Pizza Mart (U-District),6.8,"American, Italian, Gluten Free Friendly, Pizza, Family Meals",$,"5242 University Way NE, Seattle, WA, 98105",98105,47.6679014,-122.3127436,Picked for you,Mozzarella Sticks,Ten pieces. With sauce.,12.99,Satisfactory
8440,7,A Pizza Mart (U-District),7.8,"American, Italian, Gluten Free Friendly, Pizza, Family Meals",$,"5243 University Way NE, Seattle, WA, 98105",98105,47.6679014,-122.3127436,Picked for you,Medium Pizza Special,,16.99,Unsatisfactory
8440,7,A Pizza Mart (U-District),8.8,"American, Italian, Gluten Free Friendly, Pizza, Family Meals",$,"5244 University Way NE, Seattle, WA, 98105",98105,47.6679014,-122.3127436,Picked for you,Two Large Pizzas,,34.99,Unsatisfactory
8440,7,A Pizza Mart (U-District),9.8,"American, Italian, Gluten Free Friendly, Pizza, Family Meals",$,"5245 University Way NE, Seattle, WA, 98105",98105,47.6679014,-122.3127436,Appetizers,Garlic Breadsticks,,6.99,Unsatisfactory
8440,7,A Pizza Mart (U-District),10.8,"American, Italian, Gluten Free Friendly, Pizza, Family Meals",$,"5246 University Way NE, Seattle, WA, 98105",98105,47.6679014,-122.3127436,Appetizers,Cheese Breadsticks,,7.99,Unsatisfactory
15045,1,Agua Verde CafÃ©,4.8,"Mexican, Latin American, New Mexican, Family Friendly, Allergy Friendly",$,"1303 NE Boat St, Seattle, WA, 98105",98105,47.6515843,-122.3143648,Picked for you,Milk Shakes ,Made with premium ice cream and topped with whipped cream. ,5.18,Unsatisfactory
15045,1,Agua Verde CafÃ©,4.8,"Mexican, Latin American, New Mexican, Family Friendly, Allergy Friendly",$,"1303 NE Boat St, Seattle, WA, 98105",98105,47.6515843,-122.3143648,Picked for you,The Grand SlamwichÂ®,"Scrambled eggs, sausage, bacon, ham and American cheese on potato bread grilled with a maple spice spread. Served with hash browns.  
",12.67,Unsatisfactory
15045,1,Agua Verde CafÃ©,4.8,"Mexican, Latin American, New Mexican, Family Friendly, Allergy Friendly",$,"1303 NE Boat St, Seattle, WA, 98105",98105,47.6515843,-122.3143648,Picked for you,Mozzarella Cheese Sticks,Eight golden-fried cheese sticks served with your choice of dipping sauce.,8.41,Unsatisfactory
15045,1,Agua Verde CafÃ©,4.8,"Mexican, Latin American, New Mexican, Family Friendly, Allergy Friendly",$,"1303 NE Boat St, Seattle, WA, 98105",98105,47.6515843,-122.3143648,Picked for you,Lumberjack SlamÂ®,"Buttermilk pancakes, grilled ham, bacon strips, sausage links, eggs,* hash browns and choice of bread",14.54,Unsatisfactory
15045,1,Agua Verde CafÃ©,4.8,"Mexican, Latin American, New Mexican, Family Friendly, Allergy Friendly",$,"1303 NE Boat St, Seattle, WA, 98105",98105,47.6515843,-122.3143648,Picked for you,Premium Chicken Tenders,5 Premium golden-fried chicken tenderloins with choice of dipping sauce.  ,9.76,Unsatisfactory
